name,birth_date,birth_time,birth_location,latitude,longitude,timezone,data_source,career_potential,wealth_potential,marriage_happiness,children_prospects,health_status,spiritual_inclination,chart_strength,life_ease_score
Winston Churchill,1874-11-30,01:30:00,"Woodstock, England",51.8417,-1.55,0.0,VedAstro,95.0,85.0,65.0,80.0,60.0,70.0,88.0,78.0
Franklin D. Roosevelt,1882-01-30,20:45:00,"Hyde Park, New York",41.7896,-73.9626,-5.0,VedAstro,95.0,90.0,70.0,90.0,45.0,75.0,90.0,80.0
Abraham Lincoln,1809-02-12,06:30:00,"Hodgenville, Kentucky",37.5891,-85.7584,-6.0,VedAstro,98.0,75.0,50.0,55.0,40.0,85.0,92.0,70.0
Napoleon Bonaparte,1769-08-15,11:49:00,"Ajaccio, Corsica",41.9227,8.7382,1.0,VedAstro,98.0,95.0,55.0,70.0,65.0,60.0,95.0,65.0
Indira Gandhi,1917-11-19,23:15:00,"Allahabad, India",25.4358,81.8463,5.5,VedAstro,92.0,85.0,50.0,75.0,55.0,80.0,88.0,65.0
Nelson Mandela,1918-07-18,14:30:00,"Umtata, South Africa",-31.5909,28.7832,2.0,VedAstro,95.0,80.0,75.0,85.0,70.0,90.0,92.0,85.0
Mahatma Gandhi,1869-10-02,07:11:00,"Porbandar, India",21.6423,69.6093,5.5,VedAstro,90.0,70.0,65.0,80.0,60.0,95.0,90.0,85.0
John F. Kennedy,1917-05-29,15:00:00,"Boston, Massachusetts",42.3601,-71.0589,-5.0,VedAstro,90.0,95.0,65.0,90.0,50.0,75.0,88.0,75.0
Margaret Thatcher,1925-10-13,09:00:00,"Grantham, England",52.9141,-0.6437,0.0,VedAstro,92.0,90.0,55.0,70.0,75.0,60.0,90.0,70.0
Ronald Reagan,1911-02-06,04:16:00,"Dixon, Illinois",41.8376,-89.5001,-6.0,VedAstro,88.0,85.0,70.0,80.0,75.0,70.0,85.0,78.0
Albert Einstein,1879-03-14,11:30:00,"Ulm, Germany",48.3985,9.9921,1.0,VedAstro,98.0,85.0,70.0,75.0,65.0,85.0,95.0,80.0
Marie Curie,1867-11-24,15:25:00,"Warsaw, Poland",52.2297,21.0122,1.0,VedAstro,95.0,80.0,70.0,80.0,50.0,85.0,92.0,75.0
Isaac Newton,1643-01-04,16:30:00,"Woolsthorpe, England",52.8159,-0.3835,0.0,VedAstro,98.0,75.0,55.0,65.0,70.0,80.0,98.0,75.0
Charles Darwin,1809-02-12,19:30:00,"Shrewsbury, England",52.7099,-2.4972,0.0,VedAstro,92.0,80.0,75.0,85.0,60.0,85.0,90.0,78.0
Nikola Tesla,1856-07-10,00:30:00,"Smiljan, Croatia",44.794,15.2588,1.0,VedAstro,95.0,70.0,40.0,50.0,55.0,85.0,92.0,55.0
Stephen Hawking,1942-01-08,19:30:00,"Oxford, England",51.7519,-1.2578,0.0,VedAstro,92.0,80.0,55.0,70.0,40.0,85.0,90.0,60.0
Richard Feynman,1918-05-11,19:00:00,"Far Rockaway, New York",40.6025,-73.8214,-5.0,VedAstro,90.0,75.0,65.0,75.0,50.0,80.0,88.0,75.0
Leonardo da Vinci,1452-04-15,14:00:00,"Vinci, Italy",43.8081,11.0304,1.0,VedAstro,98.0,80.0,60.0,70.0,70.0,85.0,96.0,80.0
Pablo Picasso,1881-10-25,23:15:00,"Malaga, Spain",36.7213,-3.7385,1.0,VedAstro,95.0,90.0,50.0,75.0,75.0,80.0,92.0,75.0
Vincent van Gogh,1853-03-30,11:00:00,"Groot-Zundert, Netherlands",51.5,4.8167,1.0,VedAstro,85.0,60.0,45.0,50.0,50.0,90.0,85.0,50.0
Ludwig van Beethoven,1770-12-17,11:45:00,"Bonn, Germany",50.7365,7.0999,1.0,VedAstro,92.0,75.0,45.0,50.0,55.0,85.0,90.0,60.0
Wolfgang Amadeus Mozart,1756-01-27,19:30:00,"Salzburg, Austria",47.8096,13.055,1.0,VedAstro,95.0,85.0,60.0,80.0,50.0,85.0,93.0,70.0
Freddie Mercury,1946-09-05,14:30:00,"Zanzibar, Tanzania",-6.1667,39.2,3.0,VedAstro,90.0,85.0,60.0,65.0,55.0,85.0,88.0,75.0
Bob Dylan,1941-05-24,21:05:00,"Duluth, Minnesota",46.7833,-92.106,-6.0,VedAstro,88.0,85.0,60.0,75.0,75.0,85.0,85.0,80.0
The Beatles (John Lennon),1940-10-09,19:00:00,"Liverpool, England",53.4084,-2.9916,0.0,VedAstro,92.0,90.0,55.0,75.0,70.0,85.0,90.0,80.0
Muhammad Ali,1942-01-17,14:35:00,"Louisville, Kentucky",38.2527,-85.7585,-5.0,VedAstro,95.0,90.0,65.0,85.0,75.0,80.0,92.0,85.0
Pelé,1940-10-21,03:30:00,"Três Corações, Brazil",-22.4419,-45.4627,-3.0,VedAstro,92.0,95.0,75.0,90.0,80.0,75.0,90.0,85.0
Michael Jordan,1963-02-17,14:00:00,"Brooklyn, New York",40.6501,-73.9496,-5.0,VedAstro,98.0,98.0,70.0,85.0,85.0,75.0,96.0,90.0
Roger Federer,1981-08-08,02:40:00,"Basel, Switzerland",47.5596,7.5886,1.0,VedAstro,94.0,95.0,75.0,85.0,90.0,70.0,94.0,85.0
Serena Williams,1981-09-26,14:00:00,"Saginaw, Michigan",43.4167,-84.0833,-5.0,VedAstro,95.0,95.0,70.0,85.0,85.0,75.0,93.0,85.0
Andrew Carnegie,1835-11-25,06:30:00,"Dunfermline, Scotland",56.062,-3.4322,0.0,VedAstro,92.0,99.0,70.0,85.0,75.0,75.0,90.0,80.0
John D. Rockefeller,1839-07-08,11:00:00,"Richford, New York",43.9948,-75.8615,-5.0,VedAstro,90.0,100.0,65.0,80.0,70.0,70.0,88.0,75.0
Henry Ford,1863-07-30,19:30:00,"Wayne County, Michigan",42.315,-83.1234,-5.0,VedAstro,92.0,98.0,60.0,75.0,75.0,60.0,90.0,75.0
Elon Musk,1971-06-28,06:30:00,"Pretoria, South Africa",-25.7461,28.2293,2.0,VedAstro,95.0,95.0,55.0,85.0,75.0,75.0,94.0,80.0
Oprah Winfrey,1954-01-29,04:30:00,"Kosciusko, Mississippi",32.7455,-89.6607,-6.0,VedAstro,90.0,95.0,70.0,85.0,80.0,85.0,88.0,85.0
Warren Buffett,1930-08-30,15:00:00,"Omaha, Nebraska",41.2565,-95.9345,-6.0,VedAstro,92.0,99.0,75.0,85.0,85.0,75.0,92.0,85.0
Socrates,1469-05-18,12:00:00,"Athens, Greece",37.9838,23.7275,2.0,VedAstro,85.0,70.0,55.0,65.0,60.0,95.0,88.0,75.0
Aristotle,1384-04-23,14:30:00,"Stagira, Greece",40.6524,23.7681,2.0,VedAstro,90.0,75.0,65.0,75.0,70.0,90.0,92.0,80.0
Plato,1427-05-07,10:00:00,"Athens, Greece",37.9838,23.7275,2.0,VedAstro,88.0,70.0,60.0,70.0,65.0,95.0,90.0,75.0
Swami Vivekananda,1863-01-12,11:00:00,"Calcutta, India",22.5726,88.3639,5.5,VedAstro,88.0,75.0,65.0,75.0,65.0,98.0,88.0,85.0
Sri Aurobindo,1872-08-15,03:52:00,"Calcutta, India",22.5726,88.3639,5.5,VedAstro,85.0,70.0,70.0,75.0,70.0,98.0,85.0,85.0
Marilyn Monroe,1926-06-01,09:56:00,"Los Angeles, California",34.0522,-118.2437,-8.0,VedAstro,85.0,90.0,55.0,60.0,50.0,75.0,82.0,65.0
Audrey Hepburn,1929-05-04,02:00:00,"Brussels, Belgium",50.8503,4.3517,1.0,VedAstro,88.0,90.0,70.0,75.0,80.0,80.0,85.0,80.0
Charlie Chaplin,1889-04-16,03:00:00,"London, England",51.5074,-0.1278,0.0,VedAstro,90.0,88.0,60.0,80.0,75.0,80.0,88.0,75.0
Humphrey Bogart,1899-12-25,17:32:00,"New York, New York",40.7128,-74.006,-5.0,VedAstro,88.0,85.0,65.0,75.0,70.0,75.0,85.0,75.0
Cary Grant,1904-01-18,01:30:00,"Bristol, England",51.4545,-2.5879,0.0,VedAstro,88.0,88.0,70.0,80.0,80.0,70.0,86.0,80.0
Carl Sagan,1934-11-09,02:00:00,"New York, New York",40.7128,-74.006,-5.0,VedAstro,92.0,80.0,70.0,80.0,70.0,90.0,90.0,85.0
Jane Goodall,1934-04-03,04:00:00,"London, England",51.5074,-0.1278,0.0,VedAstro,88.0,75.0,70.0,75.0,80.0,95.0,87.0,85.0
Richard Dawkins,1941-03-26,20:00:00,"Nairobi, Kenya",-1.2865,36.8172,3.0,VedAstro,90.0,80.0,65.0,70.0,75.0,85.0,88.0,80.0
Margaret Thatcher (verified),1925-10-13,09:00:00,"Grantham, England",52.9141,-0.6437,0.0,VedAstro,92.0,90.0,55.0,70.0,75.0,60.0,90.0,70.0
Vladimir Putin,1952-10-01,09:30:00,"Saint Petersburg, Russia",59.9311,30.3609,3.0,VedAstro,90.0,85.0,60.0,75.0,80.0,60.0,88.0,70.0
Barack Obama,1961-08-04,19:24:00,"Honolulu, Hawaii",21.3099,-157.8581,-10.0,VedAstro,88.0,88.0,75.0,85.0,80.0,75.0,86.0,80.0
Steve Wozniak,1950-08-11,11:00:00,"San Jose, California",37.3382,-121.8863,-8.0,VedAstro,90.0,85.0,70.0,80.0,80.0,75.0,88.0,80.0
Mark Zuckerberg,1984-05-14,15:30:00,"White Plains, New York",41.0534,-73.8686,-5.0,VedAstro,92.0,98.0,60.0,75.0,80.0,65.0,90.0,80.0
Larry Page,1973-03-26,08:45:00,"East Lansing, Michigan",42.7335,-84.4867,-5.0,VedAstro,92.0,98.0,65.0,75.0,80.0,70.0,90.0,82.0
Sergey Brin,1973-08-21,20:00:00,"Moscow, Russia",55.7558,37.6173,3.0,VedAstro,90.0,97.0,70.0,80.0,80.0,75.0,88.0,85.0
Walt Disney,1901-12-05,01:00:00,"Chicago, Illinois",41.8781,-87.6298,-6.0,VedAstro,92.0,95.0,65.0,85.0,75.0,80.0,90.0,85.0
Alfred Hitchcock,1899-08-13,21:00:00,"London, England",51.5074,-0.1278,0.0,VedAstro,90.0,90.0,60.0,70.0,75.0,75.0,88.0,75.0
Orson Welles,1915-05-06,23:15:00,"Kenosha, Wisconsin",42.5834,-87.8206,-6.0,VedAstro,88.0,85.0,55.0,65.0,70.0,80.0,86.0,70.0
Arnold Schwarzenegger,1947-07-30,04:10:00,"Thal, Austria",47.3667,14.75,1.0,VedAstro,92.0,95.0,70.0,85.0,88.0,75.0,90.0,85.0
Bruce Lee,1940-11-27,07:41:00,"San Francisco, California",37.7749,-122.4194,-8.0,VedAstro,95.0,88.0,65.0,80.0,75.0,80.0,92.0,85.0
Albert Einstein,1879-03-14,11:30:00,Ulm,48.4008,9.9875,1.0,Astro-Seek,,,,,,,,
Marie Curie,1867-11-24,12:00:00,Warsaw,52.2297,21.0122,1.0,Astro-Seek,,,,,,,,
Isaac Newton,1643-01-04,16:30:00,Woolsthorpe,52.7558,-0.6891,0.0,Astro-Seek,,,,,,,,
Galileo Galilei,1564-02-15,15:00:00,Pisa,43.7167,10.4,1.0,Astro-Seek,,,,,,,,
Stephen Hawking,1942-01-08,20:30:00,Oxford,51.7527,-1.2566,0.0,Astro-Seek,,,,,,,,
Steve Jobs,1955-02-24,19:15:00,San Francisco,37.7749,-122.4194,-8.0,Astro-Databank,95.0,95.0,60.0,75.0,50.0,80.0,90.0,85.0
Bill Gates,1955-10-28,14:00:00,Seattle,47.6062,-122.3321,-8.0,Astro-Databank,95.0,100.0,85.0,90.0,85.0,75.0,95.0,90.0
Elon Musk,1971-06-28,09:30:00,Pretoria,-25.7461,28.2293,2.0,Astro-Databank,100.0,95.0,55.0,65.0,80.0,60.0,95.0,75.0
Warren Buffett,1930-08-30,15:00:00,Omaha,41.2565,-95.9345,-6.0,Astro-Databank,100.0,100.0,85.0,90.0,90.0,75.0,98.0,90.0
Oprah Winfrey,1954-01-29,14:30:00,Kosciusko,32.5965,-89.5339,-6.0,Astro-Databank,100.0,95.0,70.0,75.0,75.0,85.0,95.0,88.0
Jeff Bezos,1964-01-12,14:30:00,Albuquerque,35.0844,-106.6504,-7.0,Astro-Databank,95.0,100.0,60.0,70.0,80.0,60.0,95.0,80.0
Mark Zuckerberg,1984-05-14,15:30:00,White Plains,41.0534,-73.8282,-5.0,Astro-Databank,90.0,95.0,70.0,75.0,85.0,65.0,90.0,80.0
Larry Page,1973-03-26,11:00:00,East Lansing,42.7335,-84.4852,-5.0,Astro-Databank,95.0,95.0,65.0,70.0,85.0,70.0,93.0,82.0
Sergey Brin,1973-08-21,09:00:00,Moscow,55.7558,37.6173,3.0,Astro-Databank,90.0,90.0,70.0,75.0,80.0,75.0,92.0,81.0
Jack Ma,1964-09-10,08:00:00,Hangzhou,30.2741,120.1551,8.0,Astro-Databank,95.0,95.0,65.0,70.0,85.0,80.0,92.0,82.0
John Lennon,1940-10-09,18:30:00,Liverpool,53.4084,-2.9916,0.0,Astro-Seek,95.0,85.0,50.0,75.0,45.0,85.0,90.0,65.0
Paul McCartney,1942-06-18,14:30:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,90.0,90.0,75.0,75.0,80.0,75.0,88.0,80.0
George Harrison,1943-02-25,23:03:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,85.0,85.0,70.0,70.0,75.0,90.0,85.0,77.0
Ringo Starr,1940-07-07,12:00:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,80.0,80.0,75.0,75.0,80.0,70.0,82.0,75.0
Elvis Presley,1935-01-08,17:35:00,Tupelo,34.2554,-88.7022,-6.0,Astro-Databank,95.0,90.0,40.0,75.0,50.0,80.0,88.0,65.0
Michael Jackson,1958-08-29,12:00:00,Gary,41.1639,-87.3441,-6.0,Astro-Databank,100.0,95.0,50.0,85.0,50.0,85.0,92.0,70.0
Prince,1958-06-07,18:00:00,Minneapolis,44.9778,-93.265,-6.0,Astro-Databank,95.0,90.0,55.0,65.0,50.0,85.0,90.0,70.0
David Bowie,1947-01-08,09:21:00,London,51.5074,-0.1278,0.0,Astro-Databank,90.0,85.0,60.0,70.0,60.0,85.0,88.0,75.0
Bob Dylan,1941-05-24,14:05:00,Duluth,46.7833,-92.1,-6.0,Astro-Databank,95.0,80.0,50.0,70.0,70.0,90.0,92.0,75.0
Jimi Hendrix,1942-11-27,10:15:00,Seattle,47.6062,-122.3321,-8.0,Astro-Databank,95.0,75.0,40.0,60.0,40.0,90.0,90.0,65.0
Marlon Brando,1924-04-03,11:00:00,Omaha,41.2565,-95.9345,-6.0,Astro-Databank,95.0,90.0,60.0,70.0,70.0,75.0,90.0,78.0
Marilyn Monroe,1926-06-01,09:30:00,Los Angeles,34.0522,-118.2437,-8.0,Astro-Databank,80.0,80.0,40.0,60.0,50.0,70.0,75.0,55.0
Audrey Hepburn,1929-05-04,23:00:00,Brussels,50.8503,4.3517,1.0,Astro-Databank,90.0,85.0,75.0,75.0,75.0,80.0,88.0,80.0
Humphrey Bogart,1899-12-25,18:00:00,New York,40.7128,-74.006,-5.0,Astro-Databank,90.0,85.0,70.0,70.0,70.0,75.0,85.0,75.0
Tom Hanks,1956-07-09,11:17:00,Concord,43.2081,-71.5376,-5.0,Astro-Databank,90.0,85.0,85.0,85.0,85.0,70.0,88.0,82.0
Meryl Streep,1949-06-22,21:27:00,Summit,40.7258,-74.3697,-5.0,Astro-Databank,95.0,85.0,80.0,80.0,85.0,75.0,92.0,83.0
Leonardo DiCaprio,1974-11-11,02:15:00,Los Angeles,34.0522,-118.2437,-8.0,Astro-Databank,90.0,90.0,60.0,65.0,80.0,70.0,88.0,75.0
Brad Pitt,1963-12-18,06:31:00,Springfield,37.2089,-93.2923,-6.0,Astro-Databank,85.0,85.0,55.0,65.0,80.0,65.0,85.0,70.0
Johnny Depp,1963-06-09,14:13:00,Owensboro,37.7692,-87.11,-6.0,Astro-Databank,85.0,85.0,50.0,65.0,75.0,70.0,85.0,70.0
Tom Cruise,1962-12-03,03:37:00,Syracuse,43.0481,-76.1474,-5.0,Astro-Databank,90.0,90.0,60.0,70.0,85.0,60.0,88.0,75.0
Albert Einstein,1879-03-14,11:30:00,Ulm,48.4008,9.9875,1.0,Astro-Databank,95.0,80.0,50.0,70.0,60.0,95.0,99.0,75.0
Stephen Hawking,1942-01-08,20:30:00,Oxford,51.7527,-1.2566,0.0,Astro-Databank,90.0,75.0,50.0,65.0,30.0,90.0,98.0,60.0
Marie Curie,1867-11-24,12:00:00,Warsaw,52.2297,21.0122,1.0,Astro-Databank,100.0,70.0,60.0,70.0,40.0,90.0,95.0,65.0
Isaac Newton,1643-01-04,16:30:00,Woolsthorpe,52.7558,-0.6891,0.0,Astro-Databank,100.0,60.0,30.0,50.0,60.0,95.0,99.0,55.0
Charles Darwin,1809-02-12,06:30:00,Shrewsbury,52.7127,-2.722,0.0,Astro-Databank,100.0,75.0,75.0,85.0,75.0,85.0,96.0,80.0
Nikola Tesla,1856-07-10,12:00:00,Smiljan,45.3231,15.0928,1.0,Astro-Databank,90.0,50.0,20.0,30.0,50.0,95.0,95.0,45.0
Carl Sagan,1934-11-09,07:48:00,Brooklyn,40.6501,-73.9496,-5.0,Astro-Databank,95.0,75.0,70.0,70.0,70.0,95.0,93.0,82.0
Richard Feynman,1918-05-11,22:24:00,Far Rockaway,40.5795,-73.8381,-5.0,Astro-Databank,95.0,80.0,60.0,75.0,70.0,90.0,94.0,78.0
Alan Turing,1912-06-23,14:30:00,Maida Vale,51.5224,-0.193,0.0,Astro-Databank,95.0,70.0,30.0,50.0,60.0,90.0,96.0,65.0
John Nash,1928-06-13,14:00:00,Bluefield,37.2691,-81.6326,-5.0,Astro-Databank,90.0,80.0,50.0,75.0,70.0,85.0,95.0,75.0
Abraham Lincoln,1809-02-12,06:24:00,Hodgenville,37.5917,-85.7527,-6.0,Astro-Databank,95.0,65.0,70.0,80.0,60.0,90.0,92.0,75.0
Winston Churchill,1874-11-30,01:30:00,Woodstock,51.8425,-1.5483,0.0,Astro-Databank,95.0,80.0,65.0,85.0,75.0,75.0,88.0,78.0
