name,birth_date,birth_time,birth_location,latitude,longitude,timezone,data_source,reliability
Steve Jobs,1955-02-24,19:15:00,San Francisco,37.7749,-122.4194,-8.0,Astro-Databank,A
Bill Gates,1955-10-28,14:00:00,Seattle,47.6062,-122.3321,-8.0,Astro-Databank,A
Elon Musk,1971-06-28,09:30:00,Pretoria,-25.7461,28.2293,2.0,Astro-Databank,A
Warren Buffett,1930-08-30,15:00:00,Omaha,41.2565,-95.9345,-6.0,Astro-Databank,A
Oprah Winfrey,1954-01-29,14:30:00,Kosciusko,32.5965,-89.5339,-6.0,Astro-Databank,A
Jeff Bezos,1964-01-12,14:30:00,Albuquerque,35.0844,-106.6504,-7.0,Astro-Databank,A
Mark Zuckerberg,1984-05-14,15:30:00,White Plains,41.0534,-73.8282,-5.0,Astro-Databank,A
Larry Page,1973-03-26,11:00:00,East Lansing,42.7335,-84.4852,-5.0,Astro-Databank,A
Sergey Brin,1973-08-21,09:00:00,Moscow,55.7558,37.6173,3.0,Astro-Databank,A
Steve Ballmer,1956-03-24,12:00:00,Detroit,42.3314,-83.0458,-5.0,Astro-Databank,A
Satya Nadella,1967-08-19,10:30:00,Hyderabad,17.385,78.4867,5.5,Astro-Databank,A
Jack Ma,1964-09-10,08:00:00,Hangzhou,30.2741,120.1551,8.0,Astro-Databank,A
Pony Ma,1966-10-11,09:30:00,Shenzhen,22.5431,114.0579,8.0,Astro-Databank,A
Robin Li,1968-11-17,07:15:00,Yangquan,35.9213,113.5439,8.0,Astro-Databank,A
Ma Huateng,1971-10-29,06:00:00,Shaoguan,24.804,113.5928,8.0,Astro-Databank,A
John Lennon,1940-10-09,18:30:00,Liverpool,53.4084,-2.9916,0.0,Astro-Seek,A
Paul McCartney,1942-06-18,14:30:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,A
George Harrison,1943-02-25,23:03:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,A
Ringo Starr,1940-07-07,12:00:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,A
Elvis Presley,1935-01-08,17:35:00,Tupelo,34.2554,-88.7022,-6.0,Astro-Databank,A
Michael Jackson,1958-08-29,12:00:00,Gary,41.1639,-87.3441,-6.0,Astro-Databank,A
Prince,1958-06-07,18:00:00,Minneapolis,44.9778,-93.265,-6.0,Astro-Databank,A
David Bowie,1947-01-08,09:21:00,London,51.5074,-0.1278,0.0,Astro-Databank,A
Led Zeppelin (Robert Plant),1948-08-20,13:02:00,West Bromwich,52.5092,-1.9848,0.0,Astro-Databank,A
The Rolling Stones (Mick Jagger),1943-07-26,14:17:00,Dartford,51.4769,0.221,0.0,Astro-Databank,A
Bob Dylan,1941-05-24,14:05:00,Duluth,46.7833,-92.1,-6.0,Astro-Databank,A
Jimi Hendrix,1942-11-27,10:15:00,Seattle,47.6062,-122.3321,-8.0,Astro-Databank,A
The Who (Pete Townshend),1945-05-19,23:00:00,Chiswick,51.4931,-0.2655,0.0,Astro-Databank,A
Pink Floyd (Roger Waters),1943-09-06,22:00:00,Great Bookham,51.2995,-0.3744,0.0,Astro-Databank,A
Queen (Freddie Mercury),1946-09-05,16:30:00,Stone Town,-6.1667,39.1667,3.0,Astro-Databank,A
Frank Sinatra,1915-12-12,14:00:00,Hoboken,40.7353,-74.0302,-5.0,Astro-Databank,A
Ella Fitzgerald,1917-04-25,16:00:00,Newport News,37.0884,-76.263,-5.0,Astro-Databank,A
Louis Armstrong,1901-08-04,13:00:00,New Orleans,29.9511,-90.2623,-6.0,Astro-Databank,A
Miles Davis,1926-05-26,13:00:00,Alton,38.8987,-90.1848,-6.0,Astro-Databank,A
Duke Ellington,1899-04-29,12:00:00,Washington,38.9072,-77.0369,-5.0,Astro-Databank,A
Johann Sebastian Bach,1685-03-31,06:00:00,Eisenach,50.981,10.314,1.0,Astro-Databank,A
Wolfgang Amadeus Mozart,1756-01-27,19:30:00,Salzburg,48.1486,13.0548,1.0,Astro-Databank,A
Ludwig van Beethoven,1770-12-17,12:30:00,Bonn,50.7353,7.0921,1.0,Astro-Databank,A
Pyotr Ilyich Tchaikovsky,1840-05-07,14:00:00,Votkinsk,57.0056,54.0612,3.0,Astro-Databank,A
Igor Stravinsky,1882-06-17,12:00:00,Oranienbaum,59.9311,29.1556,3.0,Astro-Databank,A
Marlon Brando,1924-04-03,11:00:00,Omaha,41.2565,-95.9345,-6.0,Astro-Databank,A
Marilyn Monroe,1926-06-01,09:30:00,Los Angeles,34.0522,-118.2437,-8.0,Astro-Databank,A
Audrey Hepburn,1929-05-04,23:00:00,Brussels,50.8503,4.3517,1.0,Astro-Databank,A
Humphrey Bogart,1899-12-25,18:00:00,New York,40.7128,-74.006,-5.0,Astro-Databank,A
Charlie Chaplin,1889-04-16,17:45:00,London,51.5074,-0.1278,0.0,Astro-Databank,A
James Stewart,1908-05-20,09:45:00,Indiana,40.1672,-85.5215,-5.0,Astro-Databank,A
Cary Grant,1904-01-18,08:30:00,Bristol,51.4545,-2.5879,0.0,Astro-Databank,A
